date,gender,nation,jerk,born,bweight,pid,snatch,snatch3,snatch1,snatch2,rank_s,total,rank_cj,name,jerk1,rank,jerk3,jerk2,category,event
03.2010,W,EGY,60,28.07.1996,42.35,0,50,50,40,45,1,110,1,ZAKI alla Yasser,55,1,*65,60,44,AFRICAN YOUTH QUALIFICATION CHAMPIONSHIPS
03.2010,W,TUN,45,08.12.1996,41.40,1,33,*41,33,*41,2,78,2,MESSIKH Khouloud,40,2,*50,45,44,AFRICAN YOUTH QUALIFICATION CHAMPIONSHIPS
03.2010,W,NGR,75,18.02.1994,46.75,2,59,59,50,55,1,134,1,BAWO Tosan,70,1,*77,75,48,AFRICAN YOUTH QUALIFICATION CHAMPIONSHIPS
03.2010,W,EGY,75,01.01.1996,47.50,3,55,*59,50,55,2,130,2,RAMADAN Lamyaa Abou El Hassan,70,2,*77,75,48,AFRICAN YOUTH QUALIFICATION CHAMPIONSHIPS
03.2010,W,TUN,55,27.08.1994,46.40,4,47,47,40,46,3,102,3,CHIHI Zouhra,45,3,55,50,48,AFRICAN YOUTH QUALIFICATION CHAMPIONSHIPS
03.2010,W,RSA,45,28.09.1994,47.75,5,30,30,*30,*30,4,75,4,HIABATHE Tembile,35,4,45,40,48,AFRICAN YOUTH QUALIFICATION CHAMPIONSHIPS
03.2010,M,TUN,91,29.04.1994,49.65,6,73,73,66,71,1,164,2,TAREK Yetimi,86,1,*94,91,50,AFRICAN YOUTH QUALIFICATION CHAMPIONSHIPS
03.2010,M,ALG,93,29.11.1994,49.10,7,70,*72,65,70,2,163,1,SARIAK Nafaa,90,2,93,*93,50,AFRICAN YOUTH QUALIFICATION CHAMPIONSHIPS
03.2010,M,RSA,85,26.07.1995,49.90,8,63,63,*60,60,3,148,3,CLARKE Shelton,80,3,*87,85,50,AFRICAN YOUTH QUALIFICATION CHAMPIONSHIPS
03.2010,M,ALG,68,24.12.1993,43.30,9,52,52,47,*52,5,120,4,SARIAK Badreddine,65,4,*70,68,50,AFRICAN YOUTH QUALIFICATION CHAMPIONSHIPS
03.2010,M,LBA,65,13.02.1994,49.10,10,55,55,50,*51,4,120,5,ABDARAHIM Osama,55,5,65,*65,50,AFRICAN YOUTH QUALIFICATION CHAMPIONSHIPS
03.2010,W,EGY,90,27.06.1995,51.90,11,74,74,70,*73,1,164,1,IBRAHIM Basma Emad Gouda Mohamed,88,1,*92,90,53,AFRICAN YOUTH QUALIFICATION CHAMPIONSHIPS
