date,gender,nation,jerk,born,bweight,pid,snatch,snatch3,snatch1,snatch2,rank_s,total,rank_cj,name,jerk1,rank,jerk3,jerk2,category,event
04.2017,W,CHN,92,31.08.2003,41.46,0,72,72,65,* 70,1,164,1,CHEN Yarou,85,1,92,90,44,2017 IWF YOUTH WORLD CHAMPIONSHIPS
04.2017,W,COL,89,18.06.2000,43.81,1,71,71,66,68,2,160,2,BERRIO ZULUAGA Manuela Andrea,* 85,2,89,85,44,2017 IWF YOUTH WORLD CHAMPIONSHIPS
04.2017,W,PRK,87,11.04.2002,43.94,2,70,* 73,65,70,3,157,3,PAK Song Hui,83,3,* 91,87,44,2017 IWF YOUTH WORLD CHAMPIONSHIPS
04.2017,W,CHN,86,01.09.2000,43.21,3,66,* 69,62,66,4,152,4,HUANG Yating,78,4,86,83,44,2017 IWF YOUTH WORLD CHAMPIONSHIPS
04.2017,W,ROU,79,18.11.2002,43.68,4,60,* 64,60,* 64,7,139,5,CAMBEI Mihaela-Valentina,75,5,79,78,44,2017 IWF YOUTH WORLD CHAMPIONSHIPS
04.2017,W,INA,75,05.07.2001,43.47,5,63,63,60,* 63,6,138,7,VINATASARI Nur,75,6,* 82,* 80,44,2017 IWF YOUTH WORLD CHAMPIONSHIPS
04.2017,W,TUR,75,30.01.2000,43.67,6,57,57,53,56,9,132,8,NARIN Ayse,72,7,75,* 75,44,2017 IWF YOUTH WORLD CHAMPIONSHIPS
04.2017,W,IND,77,20.03.2002,43.65,7,55,* 57,53,55,13,132,6,KONSAM Ormila Devi,74,8,* 79,77,44,2017 IWF YOUTH WORLD CHAMPIONSHIPS
04.2017,W,JPN,71,16.01.2004,43.84,8,58,* 60,56,58,8,129,11,YAMASHITA Emika,67,9,71,69,44,2017 IWF YOUTH WORLD CHAMPIONSHIPS
04.2017,W,COL,73,29.10.2001,43.26,9,55,* 58,55,* 58,11,128,10,BARBOSA LUCUMI Heidy Paola,70,10,* 75,73,44,2017 IWF YOUTH WORLD CHAMPIONSHIPS
04.2017,W,USA,74,11.07.2002,43.85,10,54,* 57,54,* 57,14,128,9,NYE Emma Elizabeth,69,11,74,72,44,2017 IWF YOUTH WORLD CHAMPIONSHIPS
04.2017,W,TUR,70,10.08.2002,43.56,11,56,* 58,54,56,10,126,13,KARASAKAL Sumeyye Nur Nida,* 68,12,70,68,44,2017 IWF YOUTH WORLD CHAMPIONSHIPS
04.2017,W,THA,70,25.03.2000,43.87,12,53,53,48,51,18,123,12,WANNASA Sonthaya,66,13,* 74,70,44,2017 IWF YOUTH WORLD CHAMPIONSHIPS
04.2017,W,VIE,67,17.05.2002,43.28,13,55,* 57,52,55,12,122,14,GIANG San Thu,63,14,67,65,44,2017 IWF YOUTH WORLD CHAMPIONSHIPS
04.2017,W,ECU,67,31.12.2002,43.44,14,53,* 56,50,53,17,120,15,BECERRA ROMERO Jenifer Samanta,63,15,67,* 67,44,2017 IWF YOUTH WORLD CHAMPIONSHIPS
04.2017,W,UKR,64,19.07.2003,43.96,15,54,54,50,52,16,118,16,SAMULIAK Svitlana,61,16,* 65,64,44,2017 IWF YOUTH WORLD CHAMPIONSHIPS
04.2017,W,ITA,63,07.12.2002,43.27,16,52,* 55,52,* 55,19,115,17,BOMBEN Martina,63,17,* 67,* 65,44,2017 IWF YOUTH WORLD CHAMPIONSHIPS
04.2017,W,VIE,60,03.06.2003,40.59,17,54,* 57,50,54,15,114,18,NGUYEN Thi Thu Trang,* 60,18,* 64,60,44,2017 IWF YOUTH WORLD CHAMPIONSHIPS
